V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-1.35982, -0.072781, 2.536347, 1.378155, -0.338321, 0.462388, 0.239599, 0.098698, 0.363787, 0.090794
1.191857, 0.266151, 0.16648, 0.448154, 0.060018, -0.082361, -0.078803, 0.085102, -0.255425, -0.166974
-1.358354, -1.340163, 1.773209, 0.37978, -0.503198, 1.800499, 0.791461, 0.247676, -1.514654, 0.207643
-0.966272, -0.185226, 1.792993, -0.863291, -0.010309, 1.247203, 0.237609, 0.377436, -1.387024, -0.054952
-1.158233, 0.877737, 1.548718, 0.403034, -0.407193, 0.095921, 0.592941, -0.270533, 0.817739, 0.753074
-0.425966, 0.960523, 1.141109, -0.168252, 0.420987, -0.029728, 0.476201, 0.260314, -0.568671, -0.371407
1.229658, 0.141004, 0.045371, 1.202613, 0.191881, 0.272708, -0.005159, 0.081213, 0.46496, -0.099254
-0.644269, 1.417964, 1.07438, -0.492199, 0.948934, 0.428118, 1.120631, -3.807864, 0.615375, 1.249376
-0.894286, 0.286157, -0.113192, -0.271526, 2.669599, 3.721818, 0.370145, 0.851084, -0.392048, -0.41043
-0.338262, 1.119593, 1.044367, -0.222187, 0.499361, -0.246761, 0.651583, 0.069539, -0.736727, -0.366846
